特征,系数,标准误,t值,p值,显著性
Intercept,8.471625083287227,1.112654339399563,7.613887604895234,5.229612144340396e-14,***
duration,0.9756684430100199,0.29278841115449106,3.3323328582674137,0.0008864591919189593,***
pub_hour,-0.3406179491695643,0.1959867420414268,-1.7379642399360156,0.08246396978991004,
dur_Long (10-30min),-2.3125548903497153,1.1328294332599966,-2.0413972505064306,0.041421487287296346,*
dur_Medium (3-10min),-1.230573778735627,1.190682116069294,-1.03350320133977,0.30156886168007957,
dur_Short (<3min),0.9618027837575964,1.2118019777590856,0.7936963310921492,0.4275232369281914,
weekend,0.8961078333184114,0.4228629275440631,2.1191449402360654,0.03427542816718006,*
