feature,mean_abs_shap
favorite_rate,2.3421711970407935
like_rate,2.229129437198485
coin_rate,1.4316990174424342
reply_rate,0.38015276019662314
share_rate,0.25428293821119924
danmaku_rate,0.2278463134612738
pub_dayofweek,0.11928237291797515
duration,0.1191265777974847
region_encoded,0.06971360502699521
pub_hour,0.051805888215570875
is_weekend,0.015190249009300872
duration_category_encoded,0.0
