feature,importance
like_rate,0.42340741914235486
favorite_rate,0.4003836746221531
coin_rate,0.12021709426706031
duration,0.024412401575866178
share_rate,0.011052529722429148
danmaku_rate,0.00549813929863626
reply_rate,0.0054364201400798565
pub_hour,0.004692875442177699
region_encoded,0.0023841904244214784
pub_dayofweek,0.0019714287462132894
is_weekend,0.000543826618607811
duration_category_encoded,0.0
