Avg Views,Like Rate (%),Coin Rate (%),Favorite Rate (%),Danmaku Rate (%),Comment Rate (%),Engagement (%),Success Index
1258192.55,14.65,3.49,5.95,0.8,0.43,25.09,20.69
2186193.92,4.86,0.51,1.35,0.16,0.14,6.97,6.36
