Group,Count,Pct,Avg_Views,Avg_Like_Rate,Avg_Coin_Rate,Avg_Fav_Rate,Avg_Engagement,Avg_Success
C0: High Engagement,193,15.39%,1258192,14.65%,3.49%,5.95%,25.09%,20.69
C1: Light Engagement,1061,84.61%,2186193,4.86%,0.51%,1.35%,6.97%,6.36
